,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
0,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/279871964/,Москва,sale,flat,7,10,3,190.0,-1,0,139000000,Басманный,Нижняя Красносельская ,35С50,Бауманская,TriBeCa APARTMENTS
1,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296470579/,Москва,sale,flat,3,15,3,104.0,-1,0,65200000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
2,ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/299508883/,Москва,sale,flat,5,9,3,54.0,-1,0,13300000,Ясенево,Новоясеневский проспект,21К1,Новоясеневская,
3,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822468/,Москва,sale,flat,5,21,3,116.8,-1,0,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
4,ID 413522,realtor,https://www.cian.ru/sale/flat/301735001/,Москва,sale,flat,5,21,3,116.78,-1,0,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
5,ID 47234297,homeowner,https://www.cian.ru/sale/flat/298474271/,Москва,sale,flat,2,24,3,90.0,-1,0,33600000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
6,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301559691/,Москва,sale,flat,2,4,3,140.0,-1,0,227576030,Мещанский,Рождественский бульвар,10/7С1,Трубная,
7,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680573/,Москва,sale,flat,3,15,3,99.9,-1,0,160000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
8,ID 111240424,homeowner,https://www.cian.ru/sale/flat/301715628/,Москва,sale,flat,12,35,3,71.0,-1,0,41000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
9,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/295370167/,Москва,sale,flat,2,6,3,110.5,-1,0,99000000,Пресненский,Малая Бронная ,32,Маяковская,
10,ID 85604823,unknown,https://www.cian.ru/sale/flat/299433436/,Москва,sale,flat,6,15,3,100.0,-1,0,50000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
11,ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/301352993/,Москва,sale,flat,8,9,3,68.3,-1,0,15500000,Ясенево,проезд Карамзина,1К1,Ясенево,
12,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301263975/,Москва,sale,flat,3,16,3,183.9,-1,0,275471699,Арбат,Малый Новопесковский переулок,8,Смоленская,Дом на Смоленской набережной
13,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779308/,Москва,sale,flat,5,6,3,200.8,-1,0,168208370,Тверской,1-й Колобовский переулок,14,Трубная,
14,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301278031/,Москва,sale,flat,7,9,3,57.6,-1,0,15000000,Текстильщики,Волжский бульвар,18К1,Текстильщики,
15,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300749905/,Москва,sale,flat,5,9,3,117.0,-1,0,65500000,Тверской,Большой Каретный переулок,24с2,Цветной бульвар,Каретный плаза
16,Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734686/,Москва,sale,flat,8,15,3,138.57,-1,0,159355000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
17,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/296664650/,Москва,sale,flat,12,12,3,70.0,-1,0,15500000,Зюзино,Одесская ,18К3,Зюзино,
18,САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/301734811/,Москва,sale,flat,8,15,3,119.5,-1,0,155350000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
19,САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/301734813/,Москва,sale,flat,8,15,3,138.57,-1,0,159355500,Хамовники, Усачева,15,Спортивная,Садовые кварталы
20,Космополис,real_estate_agent,https://www.cian.ru/sale/flat/300818798/,Москва,sale,flat,2,20,3,75.0,-1,0,29000000,Академический,Новочеремушкинская ,35,Профсоюзная,
21,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680547/,Москва,sale,flat,4,6,3,170.0,-1,0,190000000,Хамовники, Усачева,11Ж,Спортивная,Садовые кварталы
22,Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734699/,Москва,sale,flat,6,13,3,107.5,-1,0,160500000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
23,Юлия Мамаева,realtor,https://www.cian.ru/sale/flat/299308382/,Москва,sale,flat,14,17,3,74.9,-1,0,28500000,Раменки, Раменки,9К2,,
24,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680535/,Москва,sale,flat,2,8,3,152.2,-1,0,155000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
25,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680546/,Москва,sale,flat,3,11,3,118.71,-1,0,135000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
26,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301684540/,Москва,sale,flat,6,9,3,48.0,-1,0,16900000,Чертаново Южное,Чертановская ,58К2,Улица Академика Янгеля,
27,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/293668197/,Москва,sale,flat,4,5,3,150.8,-1,0,219580001,Пресненский,Леонтьевский переулок,11,Тверская,Леонтьевский 11
28,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/295229141/,Москва,sale,flat,6,12,3,107.0,-1,0,160500000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
29,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539749/,Москва,sale,flat,8,8,3,81.0,-1,0,50000000,Арбат, Арбат,51С1,Смоленская,
30,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680507/,Москва,sale,flat,4,6,3,179.0,-1,0,246547171,Хамовники, Остоженка,11,Кропоткинская,Остоженка 11
31,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301754942/,Москва,sale,flat,5,8,3,106.7,-1,0,150000000,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский
32,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301269319/,Москва,sale,flat,11,14,3,64.7,-1,0,17000000,Лосиноостровский, Коминтерна,22К1,Бабушкинская,
33,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680585/,Москва,sale,flat,3,14,3,155.0,-1,0,233000000,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
34,Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/288962979/,Москва,sale,flat,4,6,3,143.7,-1,0,167000000,Пресненский,Большой Гнездниковский переулок,3,Пушкинская,Респект
35,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/301648686/,Москва,sale,flat,4,9,3,149.0,-1,0,150000000,Пресненский,Гранатный переулок,10С1,Баррикадная,
